Freq (Hz)	micro/hp_Mod	micro/hp_Phase(rad)
20.000000000000004E+0	9.551061685353025E+0	1.514603312173743E+0
21.000000000000004E+0	6.034460486609683E+0	2.820433916726928E+0
22.000000000000004E+0	3.774844737596460E+0	681.619845402106180E-3
23.000000000000004E+0	1.906784866457457E+0	843.190220671068860E-3
24.000000000000004E+0	1.015104101655075E+0	-1.517482849335450E+0
25.000000000000004E+0	887.172225621757790E-3	-2.442248282837572E+0
26.000000000000004E+0	313.492724735603860E-3	-1.230575663320142E+0
27.000000000000004E+0	411.651583130925310E-3	1.624910575781538E+0
28.000000000000004E+0	155.019835870639310E-3	-478.592767600212080E-3
29.000000000000004E+0	273.837482432435660E-3	-1.807085968109360E+0
30.000000000000004E+0	333.870466709831230E-3	-882.139481253910060E-3
31.000000000000004E+0	703.726900917279190E-3	-1.756036632115479E+0
32.000000000000007E+0	156.157830237167010E-3	-3.959166998531919E+0
33.000000000000007E+0	223.457799809240300E-3	-6.321393859210129E+0
34.000000000000007E+0	229.788849279157600E-3	-5.328801525377379E+0
35.000000000000007E+0	1.554327924518020E+0	-7.901191960077584E+0
36.000000000000007E+0	634.170694621055800E-3	-9.595954376634030E+0
37.000000000000007E+0	466.361198557312400E-3	-8.041505403082713E+0
38.000000000000007E+0	263.802727848591320E-3	-4.924819566524534E+0
39.000000000000007E+0	315.229859911719370E-3	-5.847832129394028E+0
40.000000000000007E+0	262.539118411827870E-3	-3.852736722097858E+0
41.000000000000007E+0	460.195658342739290E-3	-3.751993135607874E+0
42.000000000000007E+0	53.807194290422890E-3	-5.593126064129299E+0
43.000000000000007E+0	87.026222293961869E-3	-7.859400226270173E+0
44.000000000000007E+0	105.558297629095410E-3	-10.989979855125732E+0
45.000000000000007E+0	183.215993712482930E-3	-10.731063380786649E+0
46.000000000000007E+0	117.460835425430650E-3	-13.468310021794201E+0
47.000000000000007E+0	65.277283599550429E-3	-10.487757614996269E+0
48.000000000000007E+0	98.492756509457186E-3	-7.944742878800458E+0
49.000000000000007E+0	160.203181610812570E-3	-6.338054136434485E+0
50.000000000000007E+0	74.197029429328348E-3	-8.368033658680030E+0
51.000000000000007E+0	98.742813405903324E-3	-6.675358426415181E+0
52.000000000000007E+0	123.803647758094090E-3	-5.930347767099944E+0
53.000000000000007E+0	327.696794964328740E-3	-8.298930890020344E+0
54.000000000000007E+0	157.243164031080740E-3	-7.823855587773648E+0
55.000000000000007E+0	124.451909260134930E-3	-6.645441770976221E+0
56.000000000000007E+0	87.561627179620669E-3	-8.299215314567382E+0
57.000000000000007E+0	851.085111107091400E-3	-8.524672885732647E+0
58.000000000000007E+0	129.145167549569230E-3	-7.853725963133119E+0
59.000000000000007E+0	88.080936437209517E-3	-6.978043305219943E+0
60.000000000000007E+0	64.006639820507638E-3	-6.903900990075059E+0
61.000000000000007E+0	91.874582191567605E-3	-4.753898990655360E+0
62.000000000000007E+0	76.321647338681228E-3	-7.417562726544554E+0
63.000000000000007E+0	63.386117846320825E-3	-6.740169774553975E+0
64.000000000000014E+0	106.433230546140900E-3	-9.853908385155007E+0
65.000000000000014E+0	144.209051408888960E-3	-12.409313573081791E+0
66.000000000000014E+0	67.863555609982890E-3	-14.830008448776736E+0
67.000000000000014E+0	79.977853934578499E-3	-11.913037317517956E+0
68.000000000000014E+0	47.833235373507900E-3	-13.831973928113959E+0
69.000000000000014E+0	34.164458365367467E-3	-15.225936508200030E+0
70.000000000000014E+0	60.330081792536586E-3	-14.111893885102123E+0
71.000000000000014E+0	49.106155016807533E-3	-14.190292342510553E+0
72.000000000000014E+0	47.624716375514638E-3	-14.665143846408380E+0
73.000000000000014E+0	39.227884913083898E-3	-12.706214156488064E+0
74.000000000000014E+0	44.060860901260664E-3	-14.372254698140072E+0
75.000000000000014E+0	59.027451267424945E-3	-14.114654353623376E+0
76.000000000000014E+0	67.145156577562606E-3	-17.064880715640879E+0
77.000000000000014E+0	23.855472952028646E-3	-15.805591680095974E+0
78.000000000000014E+0	46.345774380286128E-3	-14.877727398543104E+0
79.000000000000014E+0	32.856636234186380E-3	-14.911622451776688E+0
80.000000000000014E+0	24.403196706042483E-3	-15.386536021787752E+0
81.000000000000014E+0	38.513867781539458E-3	-12.262595557780605E+0
82.000000000000014E+0	26.045883011709976E-3	-13.260209843039068E+0
83.000000000000014E+0	65.710371160351069E-3	-11.116968190919646E+0
84.000000000000014E+0	47.752583454298343E-3	-9.233330699141064E+0
85.000000000000014E+0	89.415166786927652E-3	-7.314130892905071E+0
86.000000000000014E+0	25.892597857588680E-3	-7.984904200055849E+0
87.000000000000014E+0	24.818493169804785E-3	-10.533050283404481E+0
88.000000000000014E+0	57.498524400565236E-3	-11.096440943405881E+0
89.000000000000014E+0	37.085578989138786E-3	-12.804808963203902E+0
90.000000000000014E+0	298.090546203600870E-3	-14.194729275455334E+0
91.000000000000014E+0	49.167846039531109E-3	-11.719065790049333E+0
92.000000000000014E+0	107.410895838446500E-3	-8.852391634295419E+0
93.000000000000014E+0	81.956291345262153E-3	-9.501827632673834E+0
94.000000000000014E+0	143.591112686276640E-3	-10.258326185016180E+0
95.000000000000014E+0	68.477891097613125E-3	-12.724110493318621E+0
96.000000000000014E+0	42.821350177251839E-3	-11.315870222820312E+0
97.000000000000014E+0	55.785709137513302E-3	-14.455038025023260E+0
98.000000000000014E+0	119.030698998363970E-3	-15.220647495580236E+0
99.000000000000014E+0	60.586818063789565E-3	-14.444081917917210E+0
100.000000000000010E+0	33.212654061718298E-3	-14.757542818527716E+0
101.000000000000010E+0	46.194654741975767E-3	-16.534161996195948E+0
102.000000000000010E+0	26.298811994335262E-3	-17.530425821110089E+0
103.000000000000010E+0	49.893740778260601E-3	-16.234900419690437E+0
104.000000000000010E+0	76.554619110257252E-3	-15.276466631821831E+0
105.000000000000010E+0	39.221134623017503E-3	-14.736982502159901E+0
106.000000000000010E+0	100.655078567261550E-3	-14.048223289038825E+0
107.000000000000010E+0	79.051894009075127E-3	-15.896517894452430E+0
108.000000000000010E+0	193.140633995420220E-3	-17.150893917849498E+0
109.000000000000010E+0	117.356994317678080E-3	-14.652488322433902E+0
110.000000000000010E+0	100.524356562357840E-3	-12.780836729467827E+0
111.000000000000010E+0	18.288713951750704E-3	-15.893063286805230E+0
112.000000000000010E+0	18.883629088955852E-3	-12.854832732313982E+0
113.000000000000010E+0	12.004104964273947E-3	-12.623524376768724E+0
114.000000000000010E+0	20.844595460589279E-3	-13.378338696392619E+0
115.000000000000010E+0	15.116762043118246E-3	-14.477489634013432E+0
116.000000000000010E+0	7.339787611420286E-3	-13.138281673827025E+0
117.000000000000010E+0	9.270572724764337E-3	-12.684546283114866E+0
118.000000000000010E+0	9.277982750556630E-3	-11.338940719590365E+0
119.000000000000010E+0	14.985924546398893E-3	-12.387712337848773E+0
120.000000000000010E+0	18.612010243343816E-3	-10.078814148072773E+0
121.000000000000010E+0	6.079250130115684E-3	-11.798090671971604E+0
122.000000000000010E+0	6.985376177352296E-3	-12.285043106500252E+0
123.000000000000010E+0	4.396141764807016E-3	-13.096297145303879E+0
124.000000000000010E+0	5.577470512885254E-3	-12.499433941195656E+0
125.000000000000010E+0	5.920094720970801E-3	-13.025215939448815E+0
126.000000000000010E+0	4.659861072677371E-3	-12.388024890837931E+0
127.000000000000010E+0	3.812951558252649E-3	-13.004511517547854E+0
128.000000000000030E+0	5.315060245869640E-3	-13.178315742366994E+0
129.000000000000030E+0	3.762316049624504E-3	-13.124194583653205E+0
130.000000000000030E+0	3.083710011329318E-3	-13.618777576145241E+0
131.000000000000030E+0	3.671406659215655E-3	-13.424995037158659E+0
132.000000000000030E+0	3.328386022707500E-3	-13.376856073736031E+0
133.000000000000030E+0	3.049424858246223E-3	-13.240829802345418E+0
134.000000000000030E+0	3.817231128803366E-3	-13.359526453786353E+0
135.000000000000030E+0	3.293606555008494E-3	-13.566396252600938E+0
136.000000000000030E+0	4.213847917684487E-3	-13.592562546177810E+0
137.000000000000030E+0	3.732190938108043E-3	-13.765121361056650E+0
138.000000000000030E+0	3.288456336144002E-3	-14.082343737314689E+0
139.000000000000030E+0	2.893272756859559E-3	-14.420953234140688E+0
140.000000000000030E+0	2.226533363295723E-3	-14.139806226876642E+0
141.000000000000030E+0	2.641865265869367E-3	-13.902368339136750E+0
142.000000000000030E+0	2.230414189541794E-3	-14.380204309293244E+0
143.000000000000030E+0	2.229773289550093E-3	-13.983261301604927E+0
144.000000000000030E+0	2.509090121526555E-3	-13.844858883687442E+0
145.000000000000030E+0	2.804984378079898E-3	-14.394170151970428E+0
146.000000000000030E+0	3.072109335222426E-3	-14.471536252116413E+0
147.000000000000030E+0	2.354281991969677E-3	-15.194557193920781E+0
148.000000000000030E+0	1.754631209401711E-3	-14.714320275501796E+0
149.000000000000030E+0	1.725675830627935E-3	-17.498976231653369E+0
150.000000000000030E+0	1.740066095949912E-3	-17.901875716397079E+0
151.000000000000030E+0	2.320856210291360E-3	-18.474462404716348E+0
152.000000000000030E+0	3.510299089607299E-3	-18.559675064285784E+0
153.000000000000030E+0	4.107005033258534E-3	-18.960756309528705E+0
154.000000000000030E+0	3.998839137565774E-3	-19.197775314421801E+0
155.000000000000030E+0	4.042802946834840E-3	-19.554070275668451E+0
156.000000000000030E+0	4.213856208525838E-3	-19.715413906455499E+0
157.000000000000030E+0	4.148595401802744E-3	-19.779811286604257E+0
158.000000000000030E+0	3.947712104154837E-3	-19.853795027267310E+0
159.000000000000030E+0	3.866294448243826E-3	-19.880187754949723E+0
160.000000000000030E+0	3.770611914544474E-3	-19.805053854507001E+0
161.000000000000030E+0	4.077828665360452E-3	-19.787026365252277E+0
162.000000000000030E+0	4.998589665002812E-3	-19.870669536451000E+0
163.000000000000030E+0	5.533594304591704E-3	-20.028130104776135E+0
164.000000000000030E+0	6.185148224823867E-3	-20.379970171084537E+0
165.000000000000030E+0	6.326143739572592E-3	-20.617561360619643E+0
166.000000000000030E+0	5.662198062706833E-3	-20.803750522417246E+0
167.000000000000030E+0	4.782843859416137E-3	-20.965851970471157E+0
168.000000000000030E+0	3.682009153783613E-3	-21.024261718822522E+0
169.000000000000030E+0	3.301445024018526E-3	-20.924193717858085E+0
170.000000000000030E+0	3.175565888633793E-3	-20.830385397485635E+0
171.000000000000030E+0	3.611067414458343E-3	-20.858439158168281E+0
172.000000000000030E+0	3.601101696872710E-3	-20.927991824548151E+0
173.000000000000030E+0	4.068524293460197E-3	-21.103712055564600E+0
174.000000000000030E+0	4.226293598264962E-3	-21.218480277250666E+0
175.000000000000030E+0	4.736136227759614E-3	-21.318935013547513E+0
176.000000000000030E+0	4.690966800470277E-3	-21.657133614907902E+0
177.000000000000030E+0	3.700927979705932E-3	-22.010778738007751E+0
178.000000000000030E+0	2.310048392688916E-3	-22.316496434777736E+0
179.000000000000030E+0	1.403597727160519E-3	-22.424553399949090E+0
180.000000000000030E+0	1.170562840186013E-3	-22.611495024595470E+0
181.000000000000030E+0	1.070710167418410E-3	-22.377683592514902E+0
