Freq (Hz)	micro(Pa^2 )	hp(V^2 )
20.000000000000004E+0	234.999963200393010E-9	12.140184031555050E-9
21.000000000000004E+0	134.675517898163700E-9	12.750342657196512E-9
22.000000000000004E+0	56.691347301200657E-9	13.666883288063428E-9
23.000000000000004E+0	29.164427063977993E-9	14.573146477017989E-9
24.000000000000004E+0	5.345696317014841E-9	15.768430471020841E-9
25.000000000000004E+0	5.618111626144051E-9	16.566050811146143E-9
26.000000000000004E+0	902.615805589015000E-12	17.831718580150299E-9
27.000000000000004E+0	547.165198093532940E-12	19.996588448949377E-9
28.000000000000004E+0	398.675668263488890E-12	20.732249789108083E-9
29.000000000000004E+0	570.123633090629590E-12	21.974186443332927E-9
30.000000000000004E+0	1.240959218230324E-9	23.078711210572624E-9
31.000000000000004E+0	682.282039466639660E-12	26.960455801871963E-9
32.000000000000007E+0	626.185452861636380E-12	27.826797419265354E-9
33.000000000000007E+0	1.317406176267123E-9	29.559882237182298E-9
34.000000000000007E+0	903.292468984863200E-12	32.303899265662024E-9
35.000000000000007E+0	2.557655526813034E-9	34.334012393960455E-9
36.000000000000007E+0	1.289488196162401E-9	37.266484194163172E-9
37.000000000000007E+0	2.114743161568558E-9	40.439616111156299E-9
38.000000000000007E+0	1.245155602917070E-9	44.258073299534671E-9
39.000000000000007E+0	1.725936811922532E-9	47.275364355122926E-9
40.000000000000007E+0	807.332082313999090E-12	53.136032346003195E-9
41.000000000000007E+0	1.386967346181414E-9	57.666764382921639E-9
42.000000000000007E+0	130.897203845927420E-12	64.541053446898873E-9
43.000000000000007E+0	515.751546967987950E-12	69.844463777827575E-9
44.000000000000007E+0	442.839583453474950E-12	77.079351504600212E-9
45.000000000000007E+0	296.921614458918620E-12	83.807787669920872E-9
46.000000000000007E+0	344.750863589576920E-12	91.681310858189746E-9
47.000000000000007E+0	237.896983421762430E-12	101.855681598337050E-9
48.000000000000007E+0	735.648187602875910E-12	113.136997043326180E-9
49.000000000000007E+0	1.830104796629687E-9	124.578751590228540E-9
50.000000000000007E+0	381.093127648012180E-12	175.009779483897850E-9
51.000000000000007E+0	1.108096514303797E-9	148.080370074012180E-9
52.000000000000007E+0	739.869761744465820E-12	159.423509565781060E-9
53.000000000000007E+0	1.256250396096834E-9	168.935012738192380E-9
54.000000000000007E+0	1.719914229407135E-9	184.735278804644850E-9
55.000000000000007E+0	1.431991489664738E-9	199.706557259040130E-9
56.000000000000007E+0	909.221173329377900E-12	214.300000194677690E-9
57.000000000000007E+0	3.432629941039523E-9	231.341049150168430E-9
58.000000000000007E+0	1.182030656154772E-9	248.376646635031100E-9
59.000000000000007E+0	642.367206209945080E-12	258.520869277355320E-9
60.000000000000007E+0	616.353373369489070E-12	274.336024846758700E-9
61.000000000000007E+0	638.773652764717070E-12	284.903972381778420E-9
62.000000000000007E+0	586.594474390206400E-12	297.138048676513340E-9
63.000000000000007E+0	707.470043339665420E-12	315.248117550510130E-9
64.000000000000014E+0	1.836163221667971E-9	339.987679447716320E-9
65.000000000000014E+0	2.223358356791144E-9	364.097995218818220E-9
66.000000000000014E+0	1.405472360551318E-9	399.715202188659170E-9
67.000000000000014E+0	1.426619730997516E-9	427.952799021596170E-9
68.000000000000014E+0	890.295645314609620E-12	461.626539591295360E-9
69.000000000000014E+0	333.994236305206060E-12	500.497070323660790E-9
70.000000000000014E+0	756.909560866143640E-12	541.137992967496660E-9
71.000000000000014E+0	798.817212857849790E-12	592.866515583692570E-9
72.000000000000014E+0	956.038069017107000E-12	648.824096937599180E-9
73.000000000000014E+0	908.677562532732730E-12	714.020935370262020E-9
74.000000000000014E+0	1.009290742163614E-9	794.759694314158700E-9
75.000000000000014E+0	924.927813797991300E-12	871.325438288730430E-9
76.000000000000014E+0	648.755309848431700E-12	952.050821580325320E-9
