Temps (s) - Dev2/ai0	Tension (V) - Dev2/ai0	Temps (s) - Dev2/ai1	Tension (V) - Dev2/ai1	Temps (s) - Dev2/ai2	Tension (V) - Dev2/ai2
0.078889	0.0211421	0.078889	0.00149634	0.078889	-0.00245791
0.079	0.0352904	0.079	0.00152956	0.079	-0.00233616
0.079111	0.0388682	0.079111	0.00156268	0.079111	-0.00221616
0.079222	0.007126	0.079222	0.00159581	0.079222	-0.00209832
0.079333	-0.0241135	0.079333	0.00162878	0.079333	-0.00198136
0.079444	-0.0193279	0.079444	0.00166119	0.079444	-0.00186408
0.079556	-0.019297	0.079556	0.00169282	0.079556	-0.00174686
0.079667	0.0049388	0.079667	0.00172365	0.079667	-0.00162995
0.079778	0.037054	0.079778	0.00175379	0.079778	-0.00151287
0.079889	0.0402761	0.079889	0.00178326	0.079889	-0.00139614
0.08	0.018493	0.08	0.00181199	0.08	-0.00127978
0.080111	-0.0104593	0.080111	0.00183999	0.080111	-0.00116262
0.080222	-0.0237332	0.080222	0.00186746	0.080222	-0.00104501
0.080333	-0.0184127	0.080333	0.00189466	0.080333	-0.000928563
0.080444	-0.0167084	0.080444	0.0019218	0.080444	-0.000813655
0.080556	-0.0248447	0.080556	0.00194901	0.080556	-0.000699774
0.080667	-0.0281409	0.080667	0.00197621	0.080667	-0.000587676
0.080778	-0.025272	0.080778	0.00200314	0.080778	-0.000478237
0.080889	-0.0286386	0.080889	0.0020294	0.080889	-0.00037101
0.081	-0.0380592	0.081	0.00205477	0.081	-0.000266481
0.081111	-0.0430721	0.081111	0.00207944	0.081111	-0.000165318
0.081222	-0.0455051	0.081222	0.00210382	0.081222	-6.7178E-5
0.081333	-0.0606154	0.081333	0.00212828	0.081333	2.88226E-5
0.081444	-0.0822466	0.081444	0.00215291	0.081444	0.000124837
0.081556	-0.0929949	0.081556	0.0021775	0.081556	0.000223287
0.081667	-0.0932752	0.081667	0.0022016	0.081667	0.000325363
0.081778	-0.0939594	0.081778	0.00222481	0.081778	0.000430615
0.081889	-0.0900296	0.081889	0.00224689	0.081889	0.000538289
0.082	-0.0729853	0.082	0.00226793	0.082	0.000647743
0.082111	-0.0353719	0.082111	0.00228834	0.082111	0.000757941
0.082222	-0.00831902	0.082222	0.00230859	0.082222	0.000868841
0.082333	0.00504007	0.082333	0.00232891	0.082333	0.000980864
0.082444	0.0225747	0.082444	0.00234917	0.082444	0.00109314
0.082556	0.0218547	0.082556	0.00236899	0.082556	0.00120488
0.082667	0.00561311	0.082667	0.002388	0.082667	0.00131532
0.082778	-0.0136814	0.082778	0.00240601	0.082778	0.00142227
0.082889	-0.0232132	0.082889	0.00242293	0.082889	0.00152427
0.083	-0.0309308	0.083	0.00243876	0.083	0.00162167
0.083111	-0.0339294	0.083111	0.00245352	0.083111	0.00171526
0.083222	-0.0301021	0.083222	0.00246729	0.083222	0.00180639
0.083333	-0.0290746	0.083333	0.00248014	0.083333	0.00189731
0.083444	-0.0454001	0.083444	0.00249216	0.083444	0.00198969
0.083556	-0.0666447	0.083556	0.00250339	0.083556	0.00208372
0.083667	-0.0636042	0.083667	0.00251382	0.083667	0.00217916
0.083778	-0.0392202	0.083778	0.0025234	0.083778	0.00227567
0.083889	-0.023002	0.083889	0.00253218	0.083889	0.0023719
0.084	-0.0142878	0.084	0.00254026	0.084	0.00246618
0.084111	-0.00226871	0.084111	0.00254779	0.084111	0.00255818
0.084222	-0.0059515	0.084222	0.00255489	0.084222	0.00264847
0.084333	-0.0218065	0.084333	0.00256162	0.084333	0.00273736
0.084444	-0.0311123	0.084444	0.00256784	0.084444	0.00282543
0.084556	-0.0408355	0.084556	0.0025733	0.084556	0.00291332
0.084667	-0.0443899	0.084667	0.00257774	0.084667	0.00300095
0.084778	-0.0338454	0.084778	0.00258112	0.084778	0.0030876
0.084889	-0.0303367	0.084889	0.00258353	0.084889	0.00317254
0.085	-0.033985	0.085	0.0025851	0.085	0.00325505
0.085111	-0.041106	0.085111	0.00258587	0.085111	0.0033346
0.085222	-0.04891	0.085222	0.00258592	0.085222	0.00341208
0.085333	-0.0531906	0.085333	0.00258528	0.085333	0.00348895
0.085444	-0.0632719	0.085444	0.00258404	0.085444	0.00356538
0.085556	-0.0793579	0.085556	0.00258231	0.085556	0.00364118
0.085667	-0.0826702	0.085667	0.00258026	0.085667	0.00371628
0.085778	-0.0597448	0.085778	0.00257796	0.085778	0.00378989
0.085889	-0.0376233	0.085889	0.00257517	0.085889	0.00386177
0.086	-0.041805	0.086	0.00257149	0.086	0.00393286
0.086111	-0.0568573	0.086111	0.00256664	0.086111	0.00400401
0.086222	-0.0766051	0.086222	0.0025607	0.086222	0.00407635
0.086333	-0.0960404	0.086333	0.00255395	0.086333	0.00415146
0.086444	-0.115633	0.086444	0.00254666	0.086444	0.00422971
0.086556	-0.117707	0.086556	0.00253888	0.086556	0.00430986
0.086667	-0.116019	0.086667	0.00253046	0.086667	0.0043903
0.086778	-0.122504	0.086778	0.00252121	0.086778	0.00446968
0.086889	-0.127979	0.086889	0.00251101	0.086889	0.00454685
0.087	-0.123162	0.087	0.00249992	0.087	0.00462079
0.087111	-0.110291	0.087111	0.00248803	0.087111	0.0046909
0.087222	-0.101151	0.087222	0.0024755	0.087222	0.0047573
0.087333	-0.101644	0.087333	0.00246237	0.087333	0.00482063
0.087444	-0.105238	0.087444	0.00244854	0.087444	0.00488153
0.087556	-0.112016	0.087556	0.00243385	0.087556	0.00494066
0.087667	-0.101655	0.087667	0.0024181	0.087667	0.00499824
0.087778	-0.0939076	0.087778	0.00240109	0.087778	0.00505415
0.087889	-0.107753	0.087889	0.0023828	0.087889	0.00510847
0.088	-0.111887	0.088	0.00236342	0.088	0.00516098
0.088111	-0.117583	0.088111	0.0023432	0.088111	0.00521159
0.088222	-0.126856	0.088222	0.00232222	0.088222	0.00526054
0.088333	-0.126958	0.088333	0.00230044	0.088333	0.00530755
0.088444	-0.11976	0.088444	0.00227779	0.088444	0.0053525
0.088556	-0.117283	0.088556	0.00225428	0.088556	0.00539566
0.088667	-0.110642	0.088667	0.00223004	0.088667	0.00543683
0.088778	-0.11029	0.088778	0.00220523	0.088778	0.00547568
0.088889	-0.127474	0.088889	0.00217996	0.088889	0.00551241
0.089	-0.140965	0.089	0.0021542	0.089	0.00554727
0.089111	-0.139796	0.089111	0.00212769	0.089111	0.00558034
0.089222	-0.14548	0.089222	0.00210019	0.089222	0.00561225
0.089333	-0.150515	0.089333	0.00207176	0.089333	0.00564381
0.089444	-0.144144	0.089444	0.0020426	0.089444	0.0056755
0.089556	-0.14344	0.089556	0.00201291	0.089556	0.00570729
0.089667	-0.139852	0.089667	0.00198277	0.089667	0.00573924
0.089778	-0.126282	0.089778	0.00195213	0.089778	0.00577161
0.089889	-0.110191	0.089889	0.00192092	0.089889	0.005804
0.09	-0.102543	0.09	0.00188906	0.09	0.00583694
0.090111	-0.109865	0.090111	0.00185651	0.090111	0.00587091
0.090222	-0.105624	0.090222	0.00182334	0.090222	0.00590552
0.090333	-0.0773189	0.090333	0.00178968	0.090333	0.00594086
0.090444	-0.0635115	0.090444	0.0017557	0.090444	0.0059766
0.090556	-0.0738597	0.090556	0.00172148	0.090556	0.0060121
0.090667	-0.0797642	0.090667	0.00168691	0.090667	0.00604694
0.090778	-0.0629126	0.090778	0.00165182	0.090778	0.00608089
0.090889	-0.0398994	0.090889	0.00161617	0.090889	0.00611321
0.091	-0.00296896	0.091	0.00157999	0.091	0.00614324
0.091111	0.0536216	0.091111	0.00154328	0.091111	0.00617059
0.091222	0.11976	0.091222	0.00150605	0.091222	0.00619398
0.091333	0.214754	0.091333	0.00146829	0.091333	0.00621129
0.091444	0.334523	0.091444	0.00143001	0.091444	0.00622031
0.091556	0.4735	0.091556	0.00139127	0.091556	0.00622018
0.091667	0.618146	0.091667	0.00135215	0.091667	0.00621094
