Temps (s) - Dev2/ai0	Tension (V) - Dev2/ai0	Temps (s) - Dev2/ai1	Tension (V) - Dev2/ai1	Temps (s) - Dev2/ai2	Tension (V) - Dev2/ai2
0	-0.0577996	0	-0.000295435	0	-0.00085439
0.00011111	-0.0512664	0.00011111	-0.00034187	0.00011111	-0.000778276
0.00022222	-0.0473638	0.00022222	-0.000388279	0.00022222	-0.000703033
0.00033333	-0.0479208	0.00033333	-0.000434615	0.00033333	-0.000630244
0.00044444	-0.0650998	0.00044444	-0.00048087	0.00044444	-0.000560359
0.00055556	-0.0793814	0.00055556	-0.000527022	0.00055556	-0.000493197
0.00066667	-0.0763087	0.00066667	-0.000573064	0.00066667	-0.000427695
0.00077778	-0.0631423	0.00077778	-0.000618985	0.00077778	-0.000362174
0.00088889	-0.0542922	0.00088889	-0.000664743	0.00088889	-0.000295483
0.001	-0.0674833	0.001	-0.00071026	0.001	-0.000227714
0.0011111	-0.079453	0.0011111	-0.00075549	0.0011111	-0.000158808
0.0012222	-0.0628767	0.0012222	-0.000800491	0.0012222	-8.78002E-5
0.0013333	-0.0324412	0.0013333	-0.000845381	0.0013333	-1.51326E-5
0.0014444	-0.0280236	0.0014444	-0.00089018	0.0014444	5.82101E-5
0.0015556	-0.0409776	0.0015556	-0.00093478	0.0015556	0.000132088
0.0016667	-0.0557866	0.0016667	-0.000979035	0.0016667	0.00020575
0.0017778	-0.0813722	0.0017778	-0.00102287	0.0017778	0.000277887
0.0018889	-0.0979683	0.0018889	-0.00106635	0.0018889	0.00034849
0.002	-0.111201	0.002	-0.00110954	0.002	0.000418628
0.0021111	-0.11799	0.0021111	-0.00115247	0.0021111	0.000488668
0.0022222	-0.12057	0.0022222	-0.00119512	0.0022222	0.000558844
0.0023333	-0.117048	0.0023333	-0.00123749	0.0023333	0.000629724
0.0024444	-0.109696	0.0024444	-0.00127959	0.0024444	0.000700761
0.0025556	-0.096133	0.0025556	-0.00132136	0.0025556	0.00077086
0.0026667	-0.0635671	0.0026667	-0.00136264	0.0026667	0.000840466
0.0027778	-0.00411752	0.0027778	-0.00140336	0.0027778	0.000910727
0.0028889	0.0638573	0.0028889	-0.00144351	0.0028889	0.000981924
0.003	0.0564164	0.003	-0.00148314	0.003	0.00105403
0.0031111	0.0286324	0.0031111	-0.00152226	0.0031111	0.00112694
0.0032222	0.0108026	0.0032222	-0.00156081	0.0032222	0.00119936
0.0033333	-0.0131541	0.0033333	-0.00159875	0.0033333	0.00126995
0.0034444	-0.0263415	0.0034444	-0.00163605	0.0034444	0.00133945
0.0035556	-0.0103234	0.0035556	-0.00167272	0.0035556	0.00140848
0.0036667	0.0278643	0.0036667	-0.00170878	0.0036667	0.00147647
0.0037778	0.0253004	0.0037778	-0.0017443	0.0037778	0.00154405
0.0038889	0.018992	0.0038889	-0.00177937	0.0038889	0.00161182
0.004	0.0259451	0.004	-0.00181407	0.004	0.00167866
0.0041111	3.95203E-5	0.0041111	-0.00184838	0.0041111	0.00174426
0.0042222	-0.0457311	0.0042222	-0.00188224	0.0042222	0.0018093
0.0043333	-0.0863419	0.0043333	-0.00191558	0.0043333	0.00187331
0.0044444	-0.107121	0.0044444	-0.00194841	0.0044444	0.00193648
0.0045556	-0.115236	0.0045556	-0.00198077	0.0045556	0.00199989
0.0046667	-0.0981424	0.0046667	-0.00201267	0.0046667	0.002063
0.0047778	-0.0979905	0.0047778	-0.00204409	0.0047778	0.00212536
0.0048889	-0.104621	0.0048889	-0.00207492	0.0048889	0.0021872
0.005	-0.0800458	0.005	-0.0021051	0.005	0.00224713
0.0051111	-0.0542181	0.0051111	-0.00213477	0.0051111	0.00230463
0.0052222	-0.0429017	0.0052222	-0.00216412	0.0052222	0.00236057
0.0053333	-0.0483444	0.0053333	-0.00219316	0.0053333	0.00241443
0.0054444	-0.04706	0.0054444	-0.00222164	0.0054444	0.00246582
0.0055556	-0.0269133	0.0055556	-0.00224931	0.0055556	0.00251566
0.0056667	-0.00703337	0.0056667	-0.00227617	0.0056667	0.00256448
0.0057778	-0.00937618	0.0057778	-0.0023024	0.0057778	0.00261243
0.0058889	-0.0431537	0.0058889	-0.00232819	0.0058889	0.00266085
0.006	-0.0756455	0.006	-0.00235355	0.006	0.0027099
0.0061111	-0.0778969	0.0061111	-0.00237827	0.0061111	0.00275799
0.0062222	-0.0711599	0.0062222	-0.00240203	0.0062222	0.00280613
0.0063333	-0.0425213	0.0063333	-0.00242469	0.0063333	0.00285608
0.0064444	0.00520556	0.0064444	-0.00244642	0.0064444	0.00290727
0.0065556	0.022534	0.0065556	-0.00246758	0.0065556	0.00295938
0.0066667	0.00248607	0.0066667	-0.0024883	0.0066667	0.00301189
0.0067778	-0.0111669	0.0067778	-0.0025084	0.0067778	0.00306351
0.0068889	-0.0162774	0.0068889	-0.00252761	0.0068889	0.00311535
0.007	-0.0218288	0.007	-0.0025459	0.007	0.00316883
0.0071111	-0.0323016	0.0071111	-0.00256342	0.0071111	0.00322203
0.0072222	-0.0455508	0.0072222	-0.00258038	0.0072222	0.0032742
0.0073333	-0.0523594	0.0073333	-0.00259676	0.0073333	0.00332732
0.0074444	-0.038494	0.0074444	-0.00261236	0.0074444	0.00338192
0.0075556	-0.0225611	0.0075556	-0.00262696	0.0075556	0.00343787
0.0076667	-0.00749156	0.0076667	-0.00264056	0.0076667	0.00349537
0.0077778	0.0261649	0.0077778	-0.00265341	0.0077778	0.00355307
0.0078889	0.0410467	0.0078889	-0.00266565	0.0078889	0.00361035
0.008	0.0409899	0.008	-0.00267719	0.008	0.00366898
0.0081111	0.025866	0.0081111	-0.00268786	0.0081111	0.00372944
0.0082222	0.00486346	0.0082222	-0.00269755	0.0082222	0.00378987
0.0083333	0.0104593	0.0083333	-0.00270638	0.0083333	0.00384989
0.0084444	0.0132751	0.0084444	-0.00271456	0.0084444	0.00391011
0.0085556	-0.00901927	0.0085556	-0.00272217	0.0085556	0.00396948
0.0086667	-0.034884	0.0086667	-0.00272903	0.0086667	0.00402677
0.0087778	-0.0406688	0.0087778	-0.00273501	0.0087778	0.00408183
0.0088889	-0.0517543	0.0088889	-0.00274013	0.0088889	0.00413434
0.009	-0.0570808	0.009	-0.00274464	0.009	0.00418403
0.0091111	-0.0320769	0.0091111	-0.00274869	0.0091111	0.00423156
0.0092222	-0.00714946	0.0092222	-0.00275224	0.0092222	0.00427725
0.0093333	0.0147596	0.0093333	-0.00275515	0.0093333	0.00432059
0.0094444	0.0222079	0.0094444	-0.00275736	0.0094444	0.00436179
0.0095556	0.0334798	0.0095556	-0.00275883	0.0095556	0.00440136
0.0096667	0.0375615	0.0096667	-0.00275955	0.0096667	0.00443856
0.0097778	0.0168813	0.0097778	-0.00275961	0.0097778	0.00447286
0.0098889	-0.000293932	0.0098889	-0.00275901	0.0098889	0.00450432
0.01	-0.00937124	0.01	-0.00275769	0.01	0.00453239
0.010111	-0.0162132	0.010111	-0.00275554	0.010111	0.00455682
0.010222	-0.00752367	0.010222	-0.00275249	0.010222	0.00457847
0.010333	0.0150152	0.010333	-0.00274852	0.010333	0.00459799
0.010444	0.0173086	0.010444	-0.00274361	0.010444	0.00461424
0.010556	0.0142952	0.010556	-0.00273777	0.010556	0.00462623
0.010667	0.0267108	0.010667	-0.00273107	0.010667	0.00463498
0.010778	0.0233701	0.010778	-0.00272358	0.010778	0.00464109
0.010889	0.0324992	0.010889	-0.00271525	0.010889	0.00464569
0.011	0.0772004	0.011	-0.00270592	0.011	0.00465014
0.011111	0.088786	0.011111	-0.00269551	0.011111	0.00465342
0.011222	0.0569116	0.011222	-0.00268406	0.011222	0.00465504
0.011333	0.0453285	0.011333	-0.00267169	0.011333	0.00465653
0.011444	0.0395598	0.011444	-0.00265844	0.011444	0.00465794
0.011556	0.0334761	0.011556	-0.0026442	0.011556	0.00465781
0.011667	0.0208445	0.011667	-0.0026289	0.011667	0.00465566
0.011778	-0.00232799	0.011778	-0.00261262	0.011778	0.00465188
0.011889	-0.00120413	0.011889	-0.00259547	0.011889	0.00464715
0.012	0.0163256	0.012	-0.00257743	0.012	0.00464248
0.012111	0.027327	0.012111	-0.00255841	0.012111	0.00463778
0.012222	0.0473897	0.012222	-0.0025384	0.012222	0.00463187
0.012333	0.0603993	0.012333	-0.00251746	0.012333	0.00462468
0.012444	0.0576885	0.012444	-0.00249563	0.012444	0.00461705
0.012556	0.0208235	0.012556	-0.00247295	0.012556	0.00460843
0.012667	-0.0171073	0.012667	-0.00244942	0.012667	0.0045978
0.012778	-0.0326684	0.012778	-0.00242499	0.012778	0.00458543
0.012889	-0.0321102	0.012889	-0.00239962	0.012889	0.00457192
0.013	-0.0216312	0.013	-0.00237331	0.013	0.00455787
0.013111	0.00507712	0.013111	-0.00234605	0.013111	0.00454408
0.013222	0.0369132	0.013222	-0.00231786	0.013222	0.00452966
0.013333	0.0501722	0.013333	-0.00228885	0.013333	0.00451291
0.013444	0.0349075	0.013444	-0.00225921	0.013444	0.00449436
0.013556	6.54554E-5	0.013556	-0.0022291	0.013556	0.00447482
0.013667	-0.0140754	0.013667	-0.00219846	0.013667	0.00445359
0.013778	-0.0190685	0.013778	-0.00216708	0.013778	0.00443082
0.013889	-0.0299354	0.013889	-0.00213484	0.013889	0.00440672
0.014	-0.0314668	0.014	-0.00210189	0.014	0.00438024
0.014111	-0.0339775	0.014111	-0.00206859	0.014111	0.00435113
0.014222	-0.041458	0.014222	-0.00203514	0.014222	0.00431941
0.014333	-0.0487495	0.014333	-0.00200127	0.014333	0.00428395
0.014444	-0.0648367	0.014444	-0.00196652	0.014444	0.00424427
0.014556	-0.070703	0.014556	-0.00193096	0.014556	0.00420118
0.014667	-0.0637783	0.014667	-0.00189503	0.014667	0.00415515
0.014778	-0.0499376	0.014778	-0.00185888	0.014778	0.00410634
0.014889	-0.032603	0.014889	-0.00182228	0.014889	0.00405579
0.015	-0.0211582	0.015	-0.00178495	0.015	0.00400378
0.015111	-0.0275185	0.015111	-0.00174687	0.015111	0.00394944
0.015222	-0.0303664	0.015222	-0.00170826	0.015222	0.00389304
0.015333	-0.0259092	0.015333	-0.00166929	0.015333	0.00383586
0.015444	-0.0235047	0.015444	-0.00162996	0.015444	0.00377719
0.015556	-0.0191784	0.015556	-0.00159009	0.015556	0.00371615
0.015667	-0.0150893	0.015667	-0.00154957	0.015667	0.00365379
0.015778	-0.0133294	0.015778	-0.00150842	0.015778	0.00359062
0.015889	-0.0167492	0.015889	-0.00146679	0.015889	0.0035259
0.016	-0.0240073	0.016	-0.00142479	0.016	0.0034583
0.016111	-0.0335157	0.016111	-0.00138244	0.016111	0.00338712
0.016222	-0.0417989	0.016222	-0.00133962	0.016222	0.00331257
0.016333	-0.0286176	0.016333	-0.00129629	0.016333	0.00323548
0.016444	0.00362351	0.016444	-0.00125258	0.016444	0.00315705
0.016556	0.01864	0.016556	-0.00120855	0.016556	0.00307783
0.016667	0.0187758	0.016667	-0.00116422	0.016667	0.00299795
0.016778	0.0122982	0.016778	-0.00111955	0.016778	0.0029185
0.016889	0.00668016	0.016889	-0.00107459	0.016889	0.00284009
0.017	0.00482024	0.017	-0.00102941	0.017	0.00276181
0.017111	0.000414963	0.017111	-0.000983971	0.017111	0.00268319
0.017222	-0.0117894	0.017222	-0.000938144	0.017222	0.00260445
0.017333	-0.0199083	0.017333	-0.000891851	0.017333	0.00252627
0.017444	-0.0133159	0.017444	-0.000845123	0.017444	0.00244912
0.017556	0.000994182	0.017556	-0.000798051	0.017556	0.00237243
0.017667	0.0152919	0.017667	-0.000750708	0.017667	0.00229552
0.017778	0.00847463	0.017778	-0.000703206	0.017778	0.00221848
0.017889	-0.00843264	0.017889	-0.000655637	0.017889	0.00214192
0.018	-0.0217534	0.018	-0.000607952	0.018	0.00206618
0.018111	-0.0256709	0.018111	-0.00056008	0.018111	0.00199065
0.018222	-0.000931196	0.018222	-0.000512091	0.018222	0.00191443
0.018333	0.0146003	0.018333	-0.000464148	0.018333	0.00183721
0.018444	0.0174433	0.018444	-0.000416303	0.018444	0.00175925
0.018556	0.0238962	0.018556	-0.000368459	0.018556	0.00168057
0.018667	-0.00171666	0.018667	-0.000320461	0.018667	0.001601
0.018778	-0.0130738	0.018778	-0.000272232	0.018778	0.00152058
